GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:1900047	2e-18	84.26	0.22	12	45	negative regulation of hemostasis
GO:0050819	4e-18	79.43	0.23	12	47	negative regulation of coagulation
GO:0061045	8e-17	59.12	0.29	12	59	negative regulation of wound healing
GO:0030193	2e-16	42.83	0.41	13	84	regulation of blood coagulation
GO:1903034	1e-12	20.33	0.79	13	162	regulation of response to wounding
GO:0050878	4e-12	12.56	1.56	16	321	regulation of body fluid levels
GO:0055088	1e-11	24.15	0.56	11	115	lipid homeostasis
GO:0010466	4e-11	15.11	1.04	13	213	negative regulation of peptidase activity
GO:0031639	1e-10	121.06	0.08	6	17	plasminogen activation
GO:0046464	1e-10	64.01	0.15	7	31	acylglycerol catabolic process
GO:0070328	2e-10	61.45	0.16	7	32	triglyceride homeostasis
GO:1900048	2e-09	68.6	0.12	6	25	positive regulation of hemostasis
GO:0042632	3e-09	26.04	0.37	8	76	cholesterol homeostasis
GO:0050820	4e-09	59.23	0.14	6	28	positive regulation of coagulation
GO:0006638	5e-09	19.15	0.55	9	114	neutral lipid metabolic process
GO:0051336	7e-09	5.71	4.26	20	876	regulation of hydrolase activity
GO:0019752	9e-09	5.92	3.88	19	797	carboxylic acid metabolic process
GO:0097006	1e-08	30.09	0.28	7	58	regulation of plasma lipoprotein particle levels
GO:0051918	2e-08	283.88	0.03	4	7	negative regulation of fibrinolysis
GO:0034368	4e-08	71.67	0.1	5	20	protein-lipid complex remodeling
GO:0072378	4e-08	212.9	0.04	4	8	blood coagulation, fibrin clot formation
GO:0033344	4e-08	38.31	0.19	6	40	cholesterol efflux
GO:0006953	4e-08	37.21	0.2	6	41	acute-phase response
GO:0015918	5e-08	24.34	0.34	7	70	sterol transport
GO:0010898	7e-08	170.31	0.04	4	9	positive regulation of triglyceride catabolic process
GO:0042730	8e-08	151.25	0.05	4	10	fibrinolysis
GO:0043086	9e-08	5.98	3.14	16	646	negative regulation of catalytic activity
GO:0072376	1e-07	31.6	0.23	6	49	protein activation cascade
GO:0006631	1e-07	8.28	1.67	12	343	fatty acid metabolic process
GO:0051919	1e-07	Inf	0.01	3	3	positive regulation of fibrinolysis
GO:0034375	2e-07	121.64	0.05	4	11	high-density lipoprotein particle remodeling
GO:0090303	2e-07	27.69	0.26	6	53	positive regulation of wound healing
GO:0006958	3e-07	44.77	0.14	5	29	complement activation, classical pathway
GO:1905952	3e-07	13.8	0.66	8	136	regulation of lipid localization
GO:0045834	5e-07	13.08	0.7	8	143	positive regulation of lipid metabolic process
GO:0071827	6e-07	37.04	0.17	5	34	plasma lipoprotein particle organization
GO:0008202	7e-07	8.69	1.3	10	268	steroid metabolic process
GO:0009605	8e-07	3.51	9.16	26	1882	response to external stimulus
GO:0043434	9e-07	8.52	1.33	10	273	response to peptide hormone
GO:0045723	2e-06	60.8	0.09	4	18	positive regulation of fatty acid biosynthetic process
GO:0030162	2e-06	5.85	2.55	13	544	regulation of proteolysis
GO:0071704	2e-06	2.98	35.6	57	8635	organic substance metabolic process
GO:0048585	2e-06	3.8	6.6	21	1356	negative regulation of response to stimulus
GO:0090207	2e-06	27.53	0.21	5	44	regulation of triglyceride metabolic process
GO:0006959	6e-06	11.32	0.69	7	142	humoral immune response
GO:0034384	6e-06	126.43	0.04	3	8	high-density lipoprotein particle clearance
GO:0030212	6e-06	40.52	0.12	4	25	hyaluronan metabolic process
GO:0051180	7e-06	38.67	0.13	4	26	vitamin transport
GO:0010873	9e-06	105.35	0.04	3	9	positive regulation of cholesterol esterification
GO:0034370	9e-06	105.35	0.04	3	9	triglyceride-rich lipoprotein particle remodeling
GO:0034374	9e-06	105.35	0.04	3	9	low-density lipoprotein particle remodeling
GO:0050994	9e-06	20.25	0.28	5	58	regulation of lipid catabolic process
GO:0046486	1e-05	7.2	1.39	9	286	glycerolipid metabolic process
GO:0035296	1e-05	10.25	0.76	7	156	regulation of tube diameter
GO:0044710	1e-05	3.46	7.58	21	1874	single-organism metabolic process
GO:0034380	1e-05	90.3	0.05	3	10	high-density lipoprotein particle assembly
GO:0051006	1e-05	90.3	0.05	3	10	positive regulation of lipoprotein lipase activity
GO:0044712	1e-05	4.4	3.61	14	742	single-organism catabolic process
GO:0032269	2e-05	3.9	4.71	16	967	negative regulation of cellular protein metabolic process
GO:0050880	2e-05	9.54	0.81	7	167	regulation of blood vessel size
GO:0033700	2e-05	79.01	0.05	3	11	phospholipid efflux
GO:0034116	2e-05	79.01	0.05	3	11	positive regulation of heterotypic cell-cell adhesion
GO:0044242	2e-05	9.19	0.84	7	173	cellular lipid catabolic process
GO:0010903	2e-05	Inf	0.01	2	2	negative regulation of very-low-density lipoprotein particle remodeling
GO:0010876	2e-05	9.05	0.86	7	190	lipid localization
GO:1902578	3e-05	2.72	12.54	28	2577	single-organism localization
GO:0016053	3e-05	7.29	1.21	8	249	organic acid biosynthetic process
GO:0043691	3e-05	63.2	0.06	3	13	reverse cholesterol transport
GO:0006954	3e-05	4.65	2.89	12	594	inflammatory response
GO:0050708	4e-05	5.47	2.03	10	417	regulation of protein secretion
GO:0034434	4e-05	57.45	0.07	3	14	sterol esterification
GO:0006950	4e-05	2.55	15.04	31	3090	response to stress
GO:0044711	5e-05	3.42	5.7	17	1171	single-organism biosynthetic process
GO:0051235	7e-05	6.42	1.37	8	281	maintenance of location
GO:0003331	7e-05	417.25	0.01	2	3	positive regulation of extracellular matrix constituent secretion
GO:0043152	7e-05	417.25	0.01	2	3	induction of bacterial agglutination
GO:0016485	7e-05	9.43	0.7	6	149	protein processing
GO:0046890	9e-05	9.12	0.72	6	148	regulation of lipid biosynthetic process
GO:1901700	9e-05	3.12	6.62	18	1361	response to oxygen-containing compound
GO:0051239	9e-05	2.52	13.42	28	2758	regulation of multicellular organismal process
GO:0044238	1e-04	2.88	14.6	28	4237	primary metabolic process
GO:0010038	1e-04	7.08	1.08	7	222	response to metal ion
GO:0048584	1e-04	2.82	8.65	21	1778	positive regulation of response to stimulus
GO:0022600	1e-04	11.64	0.47	5	97	digestive system process
GO:0006082	1e-04	4.37	2.81	11	619	organic acid metabolic process
GO:0034383	1e-04	37.16	0.1	3	20	low-density lipoprotein particle clearance
GO:0060193	1e-04	17.34	0.26	4	53	positive regulation of lipase activity
GO:0097756	1e-04	11.15	0.49	5	101	negative regulation of blood vessel diameter
GO:0010884	2e-04	33.25	0.11	3	22	positive regulation of lipid storage
GO:0048523	2e-04	2.22	20.96	37	4308	negative regulation of cellular process
GO:0090277	2e-04	10.6	0.52	5	106	positive regulation of peptide hormone secretion
GO:0016064	2e-04	10.49	0.52	5	107	immunoglobulin mediated immune response
GO:0072330	2e-04	7.89	0.83	6	170	monocarboxylic acid biosynthetic process
GO:0019369	2e-04	15.45	0.29	4	59	arachidonic acid metabolic process
GO:0031100	2e-04	30.08	0.12	3	24	animal organ regeneration
GO:0065005	2e-04	30.08	0.12	3	24	protein-lipid complex assembly
GO:0008203	2e-04	9.91	0.55	5	113	cholesterol metabolic process
GO:0002740	2e-04	139.07	0.02	2	5	negative regulation of cytokine secretion involved in immune response
GO:0006548	2e-04	139.07	0.02	2	5	histidine catabolic process
GO:0019538	3e-04	2.21	20.85	36	4742	protein metabolic process
GO:0042592	3e-04	2.75	7.9	19	1623	homeostatic process
GO:0070374	3e-04	7.14	0.91	6	187	positive regulation of ERK1 and ERK2 cascade
GO:0065009	3e-04	2.5	10.72	23	2203	regulation of molecular function
GO:1902042	3e-04	25.26	0.14	3	28	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:2000352	3e-04	25.26	0.14	3	28	negative regulation of endothelial cell apoptotic process
GO:0002034	3e-04	104.3	0.03	2	6	regulation of blood vessel diameter by renin-angiotensin
GO:0010534	3e-04	104.3	0.03	2	6	regulation of activation of JAK2 kinase activity
GO:0010757	3e-04	104.3	0.03	2	6	negative regulation of plasminogen activation
GO:0034382	3e-04	104.3	0.03	2	6	chylomicron remnant clearance
GO:0002250	3e-04	5.02	1.73	8	356	adaptive immune response
GO:0002790	4e-04	4.07	2.69	10	553	peptide secretion
GO:0046883	4e-04	5.73	1.32	7	272	regulation of hormone secretion
GO:0007548	4e-04	5.66	1.34	7	275	sex differentiation
GO:0040008	4e-04	3.73	3.24	11	666	regulation of growth
GO:0006810	4e-04	2.12	20.28	35	4168	transport
GO:0070613	4e-04	12.3	0.36	4	73	regulation of protein processing
GO:0009892	5e-04	2.35	12.48	25	2565	negative regulation of metabolic process
GO:0008406	5e-04	6.56	0.99	6	203	gonad development
